Drug,Dose,Units,Hours,BioRep,TechRep,Target,Count
AVB3InhibitorCilengitide,10,nM,48,3,3,PTHrP,0.286765637
AVB3InhibitorCilengitide,20,nM,48,1,1,PTHrP,0.133889674
AVB3InhibitorCilengitide,20,nM,48,1,2,PTHrP,0.10863933
AVB3InhibitorCilengitide,20,nM,48,1,3,PTHrP,0.133339033
AVB3InhibitorCilengitide,20,nM,48,2,1,PTHrP,0.321766228
AVB3InhibitorCilengitide,20,nM,48,2,2,PTHrP,0.329354452
AVB3InhibitorCilengitide,20,nM,48,2,3,PTHrP,0.267464062
AVB3InhibitorCilengitide,20,nM,48,3,1,PTHrP,0.156093565
AVB3InhibitorCilengitide,20,nM,48,3,2,PTHrP,0.219550589
AVB3InhibitorCilengitide,20,nM,48,3,3,PTHrP,0.206555073
AVB3InhibitorCilengitide,0,nM,6,1,1,ITGB3,0.590592174
AVB3InhibitorCilengitide,0,nM,6,1,2,ITGB3,0.799039798
AVB3InhibitorCilengitide,0,nM,6,1,3,ITGB3,0.807224436
AVB3InhibitorCilengitide,0,nM,6,2,1,ITGB3,0.40947732
AVB3InhibitorCilengitide,0,nM,6,2,2,ITGB3,0.890610858
AVB3InhibitorCilengitide,0,nM,6,2,3,ITGB3,0.549055342
AVB3InhibitorCilengitide,0,nM,6,3,1,ITGB3,1.050091325
AVB3InhibitorCilengitide,0,nM,6,3,2,ITGB3,1.043598602
AVB3InhibitorCilengitide,0,nM,6,3,3,ITGB3,0.570418969
AVB3InhibitorCilengitide,5,nM,6,1,1,ITGB3,0.295944273
AVB3InhibitorCilengitide,5,nM,6,1,2,ITGB3,0.371901433
AVB3InhibitorCilengitide,5,nM,6,1,3,ITGB3,0.338528987
AVB3InhibitorCilengitide,5,nM,6,2,1,ITGB3,0.460018706
AVB3InhibitorCilengitide,5,nM,6,2,2,ITGB3,0.721437036
AVB3InhibitorCilengitide,5,nM,6,2,3,ITGB3,0.417530524
AVB3InhibitorCilengitide,5,nM,6,3,1,ITGB3,0.272637117
AVB3InhibitorCilengitide,5,nM,6,3,2,ITGB3,0.256635332
AVB3InhibitorCilengitide,5,nM,6,3,3,ITGB3,0.273679361
AVB3InhibitorCilengitide,10,nM,6,1,1,ITGB3,0.389388922
AVB3InhibitorCilengitide,10,nM,6,1,2,ITGB3,0.355674097
AVB3InhibitorCilengitide,10,nM,6,1,3,ITGB3,0.510151919
AVB3InhibitorCilengitide,10,nM,6,2,1,ITGB3,0.373407448
